Nom modifié;Nom original
La suite des aventures de Marco Polo;La suite des aventures de Marco Polo
Le Chevalier dEon  lincroyable espion de Louis XV;Le Chevalier d'Eon : l'incroyable espion de Louis XV
Mary Anning la chasseuse de fossiles;Mary Anning, la chasseuse de fossiles
Le Ballon de la liberté;Le Ballon de la liberté
Deux pirates des Caraïbes  Anne Bonny et Marie Read;Deux pirates des Caraïbes : Anne Bonny et Marie Read
LIliade et lOdyssée 16  Les origines de la guerre de Troie;L'Iliade et l'Odyssée 1/6 : Les origines de la guerre de Troie
LIliade et lOdyssée 26  Achille dépose les armes;L'Iliade et l'Odyssée 2/6 : Achille dépose les armes
LIliade et lOdyssée 36  Achille retourne au combat;L'Iliade et l'Odyssée 3/6 : Achille retourne au combat
LIliade et lOdyssée 46  Ulysse et Calypso;L'Iliade et l'Odyssée 4/6 : Ulysse et Calypso
LIliade et lOdyssée 56  Ulysse et le terrible cyclope;L'Iliade et l'Odyssée 5/6 : Ulysse et le terrible cyclope
LIliade et lOdyssée 66  Ulysse Circé et les sirènes;L'Iliade et l'Odyssée 6/6 : Ulysse, Circé et les sirènes
Jeanne dArc épisode 1  la jeune fille qui entendait des voix;Jeanne d'Arc, épisode 1 : la jeune fille qui entendait des voix
Jeanne dArc épisode 2  la pucelle chasse les Anglais hors de France;Jeanne d'Arc, épisode 2 : la pucelle chasse les Anglais hors de France
Napoléon Ép1  à la conquête du pouvoir;Napoléon, Ép1 : à la conquête du pouvoir
Napoléon Épisode 2 lEmpire;Napoléon, Épisode 2 : l'Empire
A la recherche de David Livingstone;A la recherche de David Livingstone
Victorine Brocher héroïne de la Commune;Victorine Brocher, héroïne de la Commune
Jeanne Barret  la première femme qui a fait le tour du monde;Jeanne Barret : la première femme qui a fait le tour du monde
Les évadés dAlcatraz;Les évadés d'Alcatraz
Lincroyable vie dAlice Guy la première réalisatrice de cinéma de lhistoire;L'incroyable vie d'Alice Guy, la première réalisatrice de cinéma de l’histoire
Orson Welles et la guerre des Mondes  atil vraiment fait paniquer lAmérique;Orson Welles et la guerre des Mondes : a-t-il vraiment fait paniquer l'Amérique ?
Plongée dans les abysses  le sousmarin Alvin découvre les sources hydrothermales;Plongée dans les abysses : le sous-marin Alvin découvre les sources hydrothermales
La découverte du tombeau de Gengis Khan;La découverte du tombeau de Gengis Khan
Marie Curie  le destin dune femme scientifique  Épisode 1;Marie Curie : le destin d'une femme scientifique - Épisode 1
Les premières découvertes de Marie Curie  Épisode 2;Les premières découvertes de Marie Curie - Épisode 2
La suite des exploits de Marie Curie  Épisode 3;La suite des exploits de Marie Curie - Épisode 3
Jeanne de Brigue une incroyable sorcière du MoyenAge;Jeanne de Brigue, une incroyable sorcière du Moyen-Age
La légende du roi Arthur épisode 1  La naissance dun roi;La légende du roi Arthur épisode 1 : La naissance d’un roi
La légende du roi Arthur épisode 2  le destin dun roi;La légende du roi Arthur épisode 2 : le destin d’un roi
Florence Foster Jenkins une chanteuse dopéra extraordinaire;Florence Foster Jenkins, une chanteuse d'opéra extraordinaire
Tomoe Gozen lhistoire dune femme samouraï;Tomoe Gozen, l'histoire d'une femme samouraï
Les Odyssées du Louvre 115  Dominique Vivant Denon un aventurier de la culture;Les Odyssées du Louvre 1/15 : Dominique Vivant Denon, un aventurier de la culture
Les Odyssées du Louvre 215  La vie extraordinaire de la peintre Elisabeth Vigée Le Brun;Les Odyssées du Louvre 2/15 : La vie extraordinaire de la peintre Elisabeth Vigée Le Brun
Les Odyssées du Louvre 315  La découverte de la Victoire de Samothrace;Les Odyssées du Louvre 3/15 : La découverte de la Victoire de Samothrace
Les Odyssées du Louvre 415  Le vol de la Joconde;Les Odyssées du Louvre 4/15 : Le vol de la Joconde
Les Odyssées du Louvre 515  À la découverte de la cité perdue dAkhenaton;Les Odyssées du Louvre 5/15 : À la découverte de la cité perdue d'Akhenaton
